count;len
27;3
287;4
631;5
2173;6
3515;7
9231;8
11127;9
11768;10
11824;11
11254;12
11525;13
9971;14
9394;15
8912;16
8142;17
7698;18
7583;19
6039;20
4598;21
3980;22
3063;23
2577;24
2352;25
2181;26
1840;27
2028;28
1718;29
1722;30
1643;31
1776;32
1534;33
1696;34
1558;35
1619;36
1500;37
1641;38
1925;39
1721;40
2522;41
2093;42
2347;43
2858;44
3033;45
2776;46
3617;47
4993;48
3246;49
3348;50
3882;51
4708;52
4570;53
5328;54
5904;55
6997;56
8053;57
8965;58
10862;59
11924;60
13909;61
15947;62
17795;63
20923;64
24003;65
25238;66
27836;67
30814;68
32914;69
35384;70
36980;71
38555;72
40618;73
41998;74
43631;75
44881;76
46490;77
46742;78
47750;79
48802;80
50448;81
51256;82
51128;83
51220;84
53744;85
52501;86
52810;87
53149;88
53389;89
54915;90
56354;91
53911;92
54980;93
54571;94
54958;95
55438;96
55472;97
60211;98
55373;99
55903;100
56072;101
55907;102
55618;103
56125;104
57049;105
58032;106
56635;107
59306;108
58655;109
59163;110
59263;111
60124;112
60071;113
60801;114
59754;115
59907;116
59807;117
59188;118
60121;119
60138;120
62132;121
60274;122
60492;123
61242;124
59860;125
61956;126
61349;127
61919;128
61340;129
62316;130
61069;131
62392;132
61367;133
61384;134
62191;135
62200;136
63029;137
63395;138
63196;139
62565;140
63511;141
63384;142
63046;143
63112;144
63689;145
63650;146
63884;147
63563;148
63805;149
64291;150
64597;151
65711;152
65631;153
64677;154
66657;155
65040;156
64825;157
65060;158
65102;159
65317;160
64936;161
64486;162
65794;163
64529;164
64297;165
64984;166
63915;167
64783;168
64973;169
64449;170
65646;171
65220;172
65064;173
64479;174
65042;175
65258;176
65427;177
65354;178
65759;179
65930;180
66618;181
67114;182
66460;183
67437;184
67594;185
67421;186
67764;187
67908;188
68179;189
68222;190
68426;191
68725;192
69423;193
69406;194
69481;195
69640;196
69310;197
69097;198
70019;199
69784;200
70304;201
70067;202
70129;203
70295;204
71332;205
71209;206
70543;207
71520;208
71713;209
70994;210
71440;211
71669;212
70743;213
72064;214
70385;215
71623;216
72160;217
71874;218
70846;219
71649;220
71882;221
71787;222
72185;223
72265;224
72301;225
74025;226
71474;227
70836;228
71909;229
70683;230
71290;231
71722;232
71560;233
71041;234
72264;235
71153;236
71251;237
71523;238
71241;239
71560;240
70712;241
71380;242
71054;243
70355;244
70685;245
70686;246
70205;247
70948;248
71495;249
71238;250
70697;251
70833;252
70439;253
70647;254
70882;255
71398;256
73003;257
75773;258
74744;259
72206;260
71185;261
70278;262
70382;263
70249;264
70685;265
69896;266
70126;267
70771;268
70062;269
71012;270
70111;271
70471;272
69643;273
70273;274
69687;275
69341;276
69674;277
69258;278
70638;279
69330;280
68979;281
69980;282
68851;283
68931;284
67857;285
67837;286
67991;287
68530;288
67677;289
68018;290
67547;291
66843;292
67069;293
67392;294
66825;295
66881;296
66772;297
65514;298
66580;299
66233;300
66286;301
66068;302
65179;303
65824;304
65673;305
65994;306
65199;307
65878;308
64813;309
64461;310
64426;311
65380;312
64424;313
64546;314
63902;315
65157;316
64351;317
64959;318
64097;319
64769;320
64134;321
63646;322
63666;323
63764;324
64245;325
64045;326
63379;327
63619;328
63010;329
63298;330
63236;331
62782;332
63340;333
62664;334
62809;335
62675;336
62916;337
62306;338
61550;339
61946;340
61079;341
61615;342
61802;343
61919;344
61050;345
61242;346
60975;347
61507;348
61132;349
61201;350
60918;351
61609;352
60619;353
61209;354
60857;355
61293;356
60153;357
59986;358
59977;359
60954;360
59306;361
59872;362
60043;363
59791;364
58689;365
59128;366
59055;367
58644;368
58069;369
58075;370
58202;371
58494;372
57978;373
57294;374
58192;375
57571;376
57303;377
57398;378
56816;379
56988;380
56998;381
57462;382
57450;383
56866;384
56565;385
58368;386
57012;387
55803;388
