qryid;collection;index;qrymode;k;qrylen;res_size;qry_time;search_time;nodes_evaluated;nodes_total;postings_evaluated;postings_total;client_time
70;trec8;IDX_DR;0;10;2;10;8389;8338;1931;0;0;0;1657536
211;trec8;IDX_DR;0;10;3;10;17706;17682;4332;0;0;0;18080
257;trec8;IDX_DR;0;10;0;0;32;4;1;0;0;0;233
259;trec8;IDX_DR;0;10;3;10;4798;4780;1514;0;0;0;5054
450;trec8;IDX_DR;0;10;2;10;4502;1347;370;0;0;0;4950
527;trec8;IDX_DR;0;10;2;10;1437;1384;418;0;0;0;1952
591;trec8;IDX_DR;0;10;2;10;3505;3479;1103;0;0;0;3864
626;trec8;IDX_DR;0;10;2;10;4750;4735;1821;0;0;0;5121
717;trec8;IDX_DR;0;10;1;10;1356;1337;467;0;0;0;1642
736;trec8;IDX_DR;0;10;4;10;25130;25110;6072;0;0;0;25623
775;trec8;IDX_DR;0;10;8;10;112466;112411;18450;0;0;0;112977
892;trec8;IDX_DR;0;10;4;10;71696;71668;16944;0;0;0;72214
966;trec8;IDX_DR;0;10;2;10;5240;5209;1148;0;0;0;5787
1113;trec8;IDX_DR;0;10;2;10;1548;1529;365;0;0;0;2077
1131;trec8;IDX_DR;0;10;3;10;25379;25355;6111;0;0;0;25730
1180;trec8;IDX_DR;0;10;6;10;34257;34216;6810;0;0;0;34887
1209;trec8;IDX_DR;0;10;6;10;17200;17146;3680;0;0;0;17878
1235;trec8;IDX_DR;0;10;0;0;56;4;1;0;0;0;465
1243;trec8;IDX_DR;0;10;2;10;4193;4159;1042;0;0;0;4618
1248;trec8;IDX_DR;0;10;4;10;7402;7356;1816;0;0;0;7739
1253;trec8;IDX_DR;0;10;1;10;869;855;300;0;0;0;1344
1264;trec8;IDX_DR;0;10;3;10;19972;19956;5780;0;0;0;20622
1286;trec8;IDX_DR;0;10;5;10;24661;24619;4885;0;0;0;24980
1412;trec8;IDX_DR;0;10;2;10;11162;11116;3798;0;0;0;11588
1468;trec8;IDX_DR;0;10;3;10;74152;74110;20161;0;0;0;74694
1550;trec8;IDX_DR;0;10;1;10;680;656;162;0;0;0;1126
1551;trec8;IDX_DR;0;10;1;10;7758;7744;3223;0;0;0;8151
1613;trec8;IDX_DR;0;10;2;10;13628;13606;4598;0;0;0;14190
1661;trec8;IDX_DR;0;10;2;10;12243;12198;3918;0;0;0;12763
1796;trec8;IDX_DR;0;10;2;10;9389;9361;4143;0;0;0;9906
1847;trec8;IDX_DR;0;10;5;10;19007;18941;4440;0;0;0;19487
1903;trec8;IDX_DR;0;10;5;10;68155;68089;14577;0;0;0;68720
1969;trec8;IDX_DR;0;10;1;10;884;834;246;0;0;0;1298
2118;trec8;IDX_DR;0;10;2;10;23993;23944;8145;0;0;0;24642
2146;trec8;IDX_DR;0;10;2;10;3721;3694;1181;0;0;0;4207
2217;trec8;IDX_DR;0;10;3;10;16961;16943;4635;0;0;0;17486
2271;trec8;IDX_DR;0;10;2;10;46837;46790;14455;0;0;0;47440
2321;trec8;IDX_DR;0;10;4;10;23322;23272;5617;0;0;0;24024
2343;trec8;IDX_DR;0;10;6;10;31154;31098;5835;0;0;0;31752
2348;trec8;IDX_DR;0;10;3;10;13439;13395;3663;0;0;0;13897
2383;trec8;IDX_DR;0;10;3;10;2511;2483;634;0;0;0;2949
2388;trec8;IDX_DR;0;10;3;10;6627;6602;1583;0;0;0;7041
2449;trec8;IDX_DR;0;10;3;10;93115;93095;22888;0;0;0;93581
2550;trec8;IDX_DR;0;10;4;10;34316;34280;8443;0;0;0;34880
2568;trec8;IDX_DR;0;10;5;10;54359;54307;11992;0;0;0;54842
2602;trec8;IDX_DR;0;10;3;10;20783;20759;5835;0;0;0;21384
2669;trec8;IDX_DR;0;10;3;10;14953;14928;3867;0;0;0;15397
2761;trec8;IDX_DR;0;10;2;10;1017;982;222;0;0;0;1293
2825;trec8;IDX_DR;0;10;2;10;15810;15795;5285;0;0;0;16243
2826;trec8;IDX_DR;0;10;1;10;1260;1221;266;0;0;0;1714
2828;trec8;IDX_DR;0;10;3;10;45855;45837;12743;0;0;0;46367
3064;trec8;IDX_DR;0;10;1;1;187;163;21;0;0;0;590
3068;trec8;IDX_DR;0;10;0;0;57;7;1;0;0;0;290
3091;trec8;IDX_DR;0;10;5;10;17335;17310;4436;0;0;0;17736
3161;trec8;IDX_DR;0;10;0;0;53;3;1;0;0;0;522
3234;trec8;IDX_DR;0;10;4;10;23201;23170;4228;0;0;0;23574
