qryid;collection;index;qrymode;k;qrylen;res_size;qry_time;search_time;nodes_evaluated;nodes_total;postings_evaluated;postings_total;client_time
68;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;7506;7474;1654;50410357;0;0;8528
250;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;6;10;5644757;5644727;838016;50410357;0;0;5648873
503;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;297191;273707;31039;50410357;0;0;300645
561;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;8;10;8062544;8062486;1078031;50410357;0;0;8064188
683;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;5;10;968761;968715;166454;50410357;0;0;970971
918;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;7;10;601623;600265;87923;50410357;0;0;602820
1153;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;5;10;448107;445316;82651;50410357;0;0;449782
1178;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;6;10;859523;859474;132961;50410357;0;0;861177
1206;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;5182091;5182049;998336;50410357;0;0;5186125
1394;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;5;5;110642;82343;299;50410357;0;0;110974
1465;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;287896;287858;59005;50410357;0;0;289484
1734;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;523216;519681;105802;50410357;0;0;525357
1847;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;4910601;4907705;898218;50410357;0;0;4914553
1984;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;2;10;131595;122094;7889;50410357;0;0;131932
2007;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;869833;869788;167519;50410357;0;0;872509
2127;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;9;10;232093;223395;30125;50410357;0;0;232410
2176;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;5968473;5968434;1117585;50410357;0;0;5969989
2198;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;9;338284;338237;1303;50410357;0;0;338625
2203;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;2;10;2310381;2310345;572060;50410357;0;0;2314162
2244;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;2413081;2402200;407016;50410357;0;0;2416993
2388;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;2;10;341324;336608;54426;50410357;0;0;342189
2440;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;1262134;1262078;251613;50410357;0;0;1266459
2653;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;5;10;1106108;1062692;186348;50410357;0;0;1109903
2875;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;4;10;597812;592472;127882;50410357;0;0;599970
2896;gov2;bm25_simple_est;IDX_D_SANSLEN;1;10;3;10;3051994;3050716;579704;50410357;0;0;3056057
