qryid;collection;index;qrymode;k;qrylen;res_size;qry_time;search_time;nodes_evaluated;nodes_total;postings_evaluated;postings_total;client_time
68;gov2;IDX_D;2;10;3;10;10546;9833;4001;50410357;0;0;11956
250;gov2;IDX_D;2;10;3;10;955994;954672;388955;50410357;0;0;958317
503;gov2;IDX_D;2;10;4;10;558760;540784;152067;50410357;0;0;561079
561;gov2;IDX_D;2;10;5;10;4882488;4856846;1652471;50410357;0;0;5268455
683;gov2;IDX_D;2;10;3;10;1264625;1249880;430468;50410357;0;0;1266973
918;gov2;IDX_D;2;10;7;10;2854280;2820638;707916;50410357;0;0;3005966
1153;gov2;IDX_D;2;10;1;10;66775;57463;303;50410357;0;0;67485
1178;gov2;IDX_D;2;10;2;10;4156;3252;1818;50410357;0;0;4785
1206;gov2;IDX_D;2;10;4;10;2408087;2407250;803486;50410357;0;0;2408750
1394;gov2;IDX_D;2;10;4;10;2018028;2016934;463421;50410357;0;0;2020327
1465;gov2;IDX_D;2;10;3;10;223493;213369;42645;50410357;0;0;224854
1734;gov2;IDX_D;2;10;1;1;2630;184;26;50410357;0;0;3200
1847;gov2;IDX_D;2;10;4;10;2003658;2002804;645563;50410357;0;0;2004332
1984;gov2;IDX_D;2;10;2;10;244923;244667;14353;50410357;0;0;246021
2007;gov2;IDX_D;2;10;1;3;931;251;68;50410357;0;0;1496
2127;gov2;IDX_D;2;10;6;10;2787406;2785857;773383;50410357;0;0;2973280
2176;gov2;IDX_D;2;10;4;10;2111992;2088873;633195;50410357;0;0;2114323
2198;gov2;IDX_D;2;10;2;10;291055;258916;105157;50410357;0;0;292923
2203;gov2;IDX_D;2;10;2;10;417809;414272;178433;50410357;0;0;420111
2244;gov2;IDX_D;2;10;3;10;1103157;1095227;322854;50410357;0;0;1105514
2388;gov2;IDX_D;2;10;2;10;114234;107444;37514;50410357;0;0;115431
2440;gov2;IDX_D;2;10;3;10;796587;795634;253619;50410357;0;0;798917
2653;gov2;IDX_D;2;10;2;10;98280;90461;39259;50410357;0;0;99525
2875;gov2;IDX_D;2;10;4;10;562033;560605;171649;50410357;0;0;564359
2896;gov2;IDX_D;2;10;3;10;1349386;1343976;371384;50410357;0;0;1351765
3219;gov2;IDX_D;2;10;3;10;1721986;1713863;431601;50410357;0;0;1725017
3414;gov2;IDX_D;2;10;4;10;893638;878311;266026;50410357;0;0;896014
3605;gov2;IDX_D;2;10;1;10;31341;24114;227;50410357;0;0;32010
3622;gov2;IDX_D;2;10;2;10;40998;40371;22426;50410357;0;0;42203
3768;gov2;IDX_D;2;10;2;10;233453;232741;103851;50410357;0;0;235231
3910;gov2;IDX_D;2;10;4;10;1281159;1276093;320384;50410357;0;0;1283526
3931;gov2;IDX_D;2;10;4;10;6046334;6033926;1943807;50410357;0;0;6047028
4257;gov2;IDX_D;2;10;2;10;770895;770633;10742;50410357;0;0;771876
4314;gov2;IDX_D;2;10;3;10;44487;43969;16941;50410357;0;0;45723
4411;gov2;IDX_D;2;10;3;10;1725769;1725085;512101;50410357;0;0;1728141
4415;gov2;IDX_D;2;10;3;10;376722;364389;97758;50410357;0;0;380195
4448;gov2;IDX_D;2;10;6;10;3889216;3877399;872735;50410357;0;0;4066359
4523;gov2;IDX_D;2;10;3;10;348392;317890;112201;50410357;0;0;350175
4572;gov2;IDX_D;2;10;1;5;5545;1690;120;50410357;0;0;6138
4708;gov2;IDX_D;2;10;2;10;9893;9478;5882;50410357;0;0;10681
4712;gov2;IDX_D;2;10;2;10;32291;32064;17545;50410357;0;0;33408
4720;gov2;IDX_D;2;10;3;10;13301;12832;5500;50410357;0;0;14099
4727;gov2;IDX_D;2;10;2;10;365570;364369;180542;50410357;0;0;367873
4740;gov2;IDX_D;2;10;1;2;14020;5905;45;50410357;0;0;14738
