qryid;collection;index;qrymode;k;qrylen;res_size;qry_time;search_time;nodes_evaluated;nodes_total;postings_evaluated;postings_total;client_time
70;gov2;IDX_D;3;10;1;4;304;159;92;50410357;0;0;1023
211;gov2;IDX_D;3;10;1;10;592;326;210;50410357;0;0;672
257;gov2;IDX_D;3;10;1;10;439;283;196;50410357;0;0;514
259;gov2;IDX_D;3;10;2;0;440;105;24;50410357;0;0;516
450;gov2;IDX_D;3;10;2;10;46351;46212;24632;50410357;0;0;46644
527;gov2;IDX_D;3;10;1;10;1096;905;670;50410357;0;0;1190
591;gov2;IDX_D;3;10;1;10;725;448;300;50410357;0;0;809
626;gov2;IDX_D;3;10;1;1;226;82;26;50410357;0;0;300
717;gov2;IDX_D;3;10;1;10;24541;24491;19090;50410357;0;0;25030
736;gov2;IDX_D;3;10;1;10;777;360;218;50410357;0;0;857
775;gov2;IDX_D;3;10;6;0;4662;3421;981;50410357;0;0;4772
892;gov2;IDX_D;3;10;1;2;605;161;51;50410357;0;0;684
966;gov2;IDX_D;3;10;1;10;396;254;179;50410357;0;0;469
1113;gov2;IDX_D;3;10;2;4;13717;13578;7403;50410357;0;0;13841
1131;gov2;IDX_D;3;10;1;10;1378;1107;938;50410357;0;0;1466
1180;gov2;IDX_D;3;10;5;0;1635;217;19;50410357;0;0;1717
1209;gov2;IDX_D;3;10;5;0;1320;555;133;50410357;0;0;1397
1235;gov2;IDX_D;3;10;1;5;201;147;113;50410357;0;0;275
1243;gov2;IDX_D;3;10;2;10;15415;15270;8596;50410357;0;0;15537
1248;gov2;IDX_D;3;10;2;0;487;119;15;50410357;0;0;563
1253;gov2;IDX_D;3;10;1;10;23519;23476;19422;50410357;0;0;23981
1264;gov2;IDX_D;3;10;1;10;827;528;393;50410357;0;0;906
1286;gov2;IDX_D;3;10;2;0;1087;215;57;50410357;0;0;1163
1412;gov2;IDX_D;3;10;1;10;509;376;290;50410357;0;0;586
1468;gov2;IDX_D;3;10;3;10;2063415;2063107;514617;50410357;0;0;2066487
1550;gov2;IDX_D;3;10;1;10;166994;163820;5648;50410357;0;0;167307
1551;gov2;IDX_D;3;10;1;10;14003;13916;11020;50410357;0;0;14294
1613;gov2;IDX_D;3;10;1;10;5201;5050;4625;50410357;0;0;5362
1661;gov2;IDX_D;3;10;2;10;101051;100892;61400;50410357;0;0;101590
1796;gov2;IDX_D;3;10;1;2;729;124;50;50410357;0;0;823
1847;gov2;IDX_D;3;10;3;0;660;151;9;50410357;0;0;741
1903;gov2;IDX_D;3;10;3;1;1608;845;275;50410357;0;0;1684
1969;gov2;IDX_D;3;10;1;2;267;110;49;50410357;0;0;346
2118;gov2;IDX_D;3;10;4;0;670;122;15;50410357;0;0;743
2146;gov2;IDX_D;3;10;1;2;236;96;42;50410357;0;0;310
2217;gov2;IDX_D;3;10;2;10;6561;6256;3205;50410357;0;0;6639
2271;gov2;IDX_D;3;10;2;10;1264406;1264271;646915;50410357;0;0;1265904
2321;gov2;IDX_D;3;10;4;10;2092635;2091998;677972;50410357;0;0;2093947
2343;gov2;IDX_D;3;10;2;0;127330;126612;327;50410357;0;0;128986
2348;gov2;IDX_D;3;10;2;10;61241;56711;1738;50410357;0;0;61467
2383;gov2;IDX_D;3;10;1;10;817;490;314;50410357;0;0;911
2388;gov2;IDX_D;3;10;1;10;635;343;206;50410357;0;0;710
2449;gov2;IDX_D;3;10;1;10;3368;3116;2515;50410357;0;0;3484
2550;gov2;IDX_D;3;10;2;1;691;129;26;50410357;0;0;765
