qryid;collection;ranker;index;qrymode;k;qrylen;res_size;qry_time;search_time;nodes_evaluated;nodes_total;postings_evaluated;postings_total;client_time
70;gov2;bm25;INVIDX_E_BM25;0;100;2;100;45534;45500;0;0;176748;177407;123142531
211;gov2;bm25;INVIDX_E_BM25;0;100;3;100;253789;253765;0;0;1026298;1124026;254865
257;gov2;bm25;INVIDX_E_BM25;0;100;2;100;75;50;0;0;107;123;165
259;gov2;bm25;INVIDX_E_BM25;0;100;3;100;26104;26088;0;0;94741;96284;26187
450;gov2;bm25;INVIDX_E_BM25;0;100;2;100;8508;8495;0;0;34916;35057;8617
527;gov2;bm25;INVIDX_E_BM25;0;100;2;100;394519;394507;0;0;1852872;1853979;394723
591;gov2;bm25;INVIDX_E_BM25;0;100;3;100;37786;37757;0;0;143727;144521;37905
626;gov2;bm25;INVIDX_E_BM25;0;100;2;100;423875;423860;0;0;2028287;2028325;424082
717;gov2;bm25;INVIDX_E_BM25;0;100;1;100;22478;22456;0;0;111775;111775;22576
736;gov2;bm25;INVIDX_E_BM25;0;100;4;100;1322195;1322175;0;0;4538430;6780156;1322388
775;gov2;bm25;INVIDX_E_BM25;0;100;8;100;6977006;6976966;0;0;16980563;29811472;6977225
892;gov2;bm25;INVIDX_E_BM25;0;100;4;100;1215170;1215142;0;0;4372769;5498004;1215405
966;gov2;bm25;INVIDX_E_BM25;0;100;2;100;25053;25028;0;0;103572;104540;25150
1113;gov2;bm25;INVIDX_E_BM25;0;100;2;100;2350;2337;0;0;9236;9240;2430
1131;gov2;bm25;INVIDX_E_BM25;0;100;3;100;623984;623969;0;0;2429048;3073113;624193
1180;gov2;bm25;INVIDX_E_BM25;0;100;7;100;7788748;7788710;0;0;20727516;36485343;7788976
1209;gov2;bm25;INVIDX_E_BM25;0;100;6;100;4616412;4616377;0;0;15094995;16921925;4616633
1235;gov2;bm25;INVIDX_E_BM25;0;100;1;5;30;8;0;0;5;5;126
1243;gov2;bm25;INVIDX_E_BM25;0;100;2;100;15009;14996;0;0;65019;65032;15102
1248;gov2;bm25;INVIDX_E_BM25;0;100;4;100;387718;387701;0;0;1475566;1504920;387932
1253;gov2;bm25;INVIDX_E_BM25;0;100;1;100;28445;28424;0;0;139925;139925;28560
1264;gov2;bm25;INVIDX_E_BM25;0;100;3;100;287954;287936;0;0;1144340;1253923;288147
1286;gov2;bm25;INVIDX_E_BM25;0;100;5;100;5074449;5074416;0;0;16661238;24733754;5074675
1412;gov2;bm25;INVIDX_E_BM25;0;100;2;100;110456;110430;0;0;510023;513156;110674
1468;gov2;bm25;INVIDX_E_BM25;0;100;3;100;1176522;1176493;0;0;4926059;5253276;1176736
1550;gov2;bm25;INVIDX_E_BM25;0;100;1;100;1438;1408;0;0;8233;8233;1535
1551;gov2;bm25;INVIDX_E_BM25;0;100;1;100;17334;17325;0;0;81423;81423;17414
1613;gov2;bm25;INVIDX_E_BM25;0;100;2;100;129039;129025;0;0;556427;589954;129239
1661;gov2;bm25;INVIDX_E_BM25;0;100;2;100;772081;772054;0;0;3805617;3810497;772304
1796;gov2;bm25;INVIDX_E_BM25;0;100;2;100;402797;402772;0;0;1853639;1854252;403009
1847;gov2;bm25;INVIDX_E_BM25;0;100;5;100;477248;477213;0;0;1646669;1739824;477499
1903;gov2;bm25;INVIDX_E_BM25;0;100;5;100;4422774;4422740;0;0;15350200;19173078;4423002
1969;gov2;bm25;INVIDX_E_BM25;0;100;2;100;4588;4563;0;0;16548;16551;4683
2118;gov2;bm25;INVIDX_E_BM25;0;100;4;100;1235702;1235683;0;0;4813816;5197383;1235879
2146;gov2;bm25;INVIDX_E_BM25;0;100;2;100;95897;95872;0;0;414894;415344;96110
